0,1.09882e-023nan,
1,1.72936e-021nan,
2,5.16229e-021nan,
3,7.91347e-021nan,
4,9.17586e-021nan,
5,9.30076e-021nan,
6,8.76923e-021nan,
7,7.84109e-021nan,
8,6.56622e-021nan,
9,5.03961e-021nan,
10,4.01286e-021nan,
11,3.80459e-021nan,
12,3.91739e-021nan,
13,4.25248e-021nan,
14,4.9061e-021nan,
15,5.72958e-021nan,
16,6.58359e-021nan,
17,7.2596e-021nan,
18,7.36295e-021nan,
19,6.6093e-021nan,
20,5.31984e-021nan,
21,4.62578e-021nan,
22,5.03855e-021nan,
23,6.02933e-021nan,
24,6.7724e-021nan,
25,6.90004e-021nan,
26,6.83395e-021nan,
27,6.90561e-021nan,
28,7.26322e-021nan,
29,7.87087e-021nan,
30,8.31715e-021nan,
31,8.26202e-021nan,
32,7.8409e-021nan,
33,7.29767e-021nan,
34,6.48998e-021nan,
35,5.42117e-021nan,
36,4.6736e-021nan,
37,4.68143e-021nan,
38,5.57761e-021nan,
39,7.02836e-021nan,
40,8.38144e-021nan,
41,8.96496e-021nan,
42,9.08905e-021nan,
43,8.78296e-021nan,
44,8.07482e-021nan,
45,7.29515e-021nan,
46,6.88821e-021nan,
47,7.04104e-021nan,
48,7.53031e-021nan,
49,8.0232e-021nan,
50,8.28777e-021nan,
51,8.21645e-021nan,
52,7.82992e-021nan,
53,7.09285e-021nan,
54,6.08903e-021nan,
55,5.3483e-021nan,
56,5.0741e-021nan,
57,5.3642e-021nan,
58,6.04929e-021nan,
59,6.89679e-021nan,
60,7.65535e-021nan,
61,7.98837e-021nan,
62,8.06012e-021nan,
63,7.7821e-021nan,
64,7.47209e-021nan,
65,7.34496e-021nan,
66,7.44134e-021nan,
67,7.69405e-021nan,
68,8.13149e-021nan,
69,8.4634e-021nan,
70,8.46479e-021nan,
71,8.31419e-021nan,
72,7.77426e-021nan,
73,7.16213e-021nan,
74,6.56834e-021nan,
75,6.21289e-021nan,
76,6.20854e-021nan,
77,6.43572e-021nan,
78,6.79296e-021nan,
79,7.1913e-021nan,
80,7.31848e-021nan,
81,7.25278e-021nan,
82,7.04605e-021nan,
83,6.7991e-021nan,
84,6.8037e-021nan,
85,6.94016e-021nan,
86,7.27063e-021nan,
87,7.56436e-021nan,
88,8.12161e-021nan,
89,8.43257e-021nan,
90,8.51865e-021nan,
91,8.2695e-021nan,
92,7.86074e-021nan,
93,7.42296e-021nan,
94,7.07639e-021nan,
95,6.79348e-021nan,
96,6.7401e-021nan,
97,6.83649e-021nan,
98,6.8794e-021nan,
99,6.84665e-021nan,
100,6.69524e-021nan,
101,6.61344e-021nan,
102,6.55326e-021nan,
103,6.63247e-021nan,
104,6.86175e-021nan,
105,7.19719e-021nan,
106,7.42794e-021nan,
107,7.58271e-021nan,
108,7.66577e-021nan,
109,7.51629e-021nan,
110,7.28743e-021nan,
111,6.9909e-021nan,
112,6.957e-021nan,
113,7.06842e-021nan,
114,7.26271e-021nan,
115,7.3249e-021nan,
116,7.25398e-021nan,
117,7.21025e-021nan,
118,7.07505e-021nan,
119,6.80851e-021nan,
120,6.45346e-021nan,
121,6.21406e-021nan,
122,6.19867e-021nan,
123,6.48042e-021nan,
124,6.67885e-021nan,
125,6.84758e-021nan,
126,7.0335e-021nan,
127,7.12849e-021nan,
128,7.09384e-021nan,
129,7.09837e-021nan,
130,7.00205e-021nan,
131,7.00671e-021nan,
132,7.03981e-021nan,
133,7.11705e-021nan,
134,7.21716e-021nan,
135,7.35735e-021nan,
136,7.3952e-021nan,
137,7.35465e-021nan,
138,7.25785e-021nan,
139,7.15106e-021nan,
140,6.96977e-021nan,
141,6.82371e-021nan,
142,6.83999e-021nan,
143,6.82951e-021nan,
144,6.94731e-021nan,
145,7.03951e-021nan,
146,6.94229e-021nan,
147,6.8769e-021nan,
148,6.74045e-021nan,
149,6.73939e-021nan,
150,6.87281e-021nan,
151,7.04401e-021nan,
152,7.16911e-021nan,
153,7.17379e-021nan,
154,7.06624e-021nan,
155,7.00687e-021nan,
156,6.84642e-021nan,
157,6.79029e-021nan,
158,6.74093e-021nan,
159,6.91204e-021nan,
160,7.12581e-021nan,
161,7.37978e-021nan,
162,7.2362e-021nan,
163,6.99112e-021nan,
164,6.78098e-021nan,
165,6.65989e-021nan,
166,6.39515e-021nan,
167,6.40502e-021nan,
168,6.33994e-021nan,
169,6.42843e-021nan,
170,6.66233e-021nan,
171,6.8532e-021nan,
172,6.86793e-021nan,
173,6.8296e-021nan,
174,6.67287e-021nan,
175,6.56079e-021nan,
176,6.39142e-021nan,
177,6.61162e-021nan,
178,6.56355e-021nan,
179,6.65643e-021nan,
180,6.92694e-021nan,
181,7.26556e-021nan,
182,7.5248e-021nan,
183,7.56294e-021nan,
184,7.46563e-021nan,
185,7.20138e-021nan,
186,6.92175e-021nan,
187,6.77541e-021nan,
188,6.87895e-021nan,
189,6.9674e-021nan,
190,7.00813e-021nan,
191,7.03385e-021nan,
192,7.03549e-021nan,
193,6.91206e-021nan,
194,6.62339e-021nan,
195,6.38086e-021nan,
196,6.2614e-021nan,
197,6.34374e-021nan,
198,6.50702e-021nan,
199,6.82591e-021nan,
200,7.17352e-021nan,
201,7.40188e-021nan,
202,7.56448e-021nan,
203,7.52431e-021nan,
204,7.18884e-021nan,
205,6.94524e-021nan,
206,6.74224e-021nan,
207,6.80802e-021nan,
208,6.84357e-021nan,
209,6.86821e-021nan,
210,6.85595e-021nan,
211,6.96986e-021nan,
212,6.84716e-021nan,
213,6.56764e-021nan,
214,6.34507e-021nan,
215,6.15925e-021nan,
216,6.16633e-021nan,
217,6.333e-021nan,
218,6.46921e-021nan,
219,6.67939e-021nan,
220,6.77018e-021nan,
221,6.87728e-021nan,
222,6.92363e-021nan,
223,6.86815e-021nan,
224,7.02729e-021nan,
225,7.03889e-021nan,
226,7.13518e-021nan,
227,7.13327e-021nan,
228,6.96874e-021nan,
229,6.97033e-021nan,
230,6.77862e-021nan,
231,6.54851e-021nan,
232,6.24733e-021nan,
233,6.07353e-021nan,
